"recurso";"tipo";"cantidad";"traducible";"contexto";"espanol";"ingles";"aleman";"frances";"italiano";"portugues_portugal";"notas"
"app_name";"string";"";"no";"Nombre comercial de la aplicación";"Pensieve";"Pensieve";"Pensieve";"Pensieve";"Pensieve";"Pensieve";"Marca: conservar Pensieve en todos los idiomas"
"new_reminder";"string";"";"si";"Texto del botón principal para crear una nota";"Nueva nota";"New note";"Neue Notiz";"Nouvelle note";"Nuova nota";"Nova nota";""
"create_reminder_by_voice";"string";"";"si";"Descripción accesible del botón de micrófono";"Crear nota por voz";"Create note by voice";"Notiz per Sprache erstellen";"Créer une note à la voix";"Crea una nota con la voce";"Criar nota por voz";""
"complete_reminder";"string";"";"si";"Descripción accesible de la acción que completa una nota";"Completar recordatorio: %1$s";"Complete reminder: %1$s";"Erinnerung erledigen: %1$s";"Terminer le rappel : %1$s";"Completa il promemoria: %1$s";"Concluir lembrete: %1$s";"Conservar exactamente el marcador %1$s; representa el texto de la nota"
"reminder_completed";"string";"";"si";"Mensaje del snackbar después de completar una nota";"Recordatorio completado";"Reminder completed";"Erinnerung erledigt";"Rappel terminé";"Promemoria completato";"Lembrete concluído";""
"undo";"string";"";"si";"Acción del snackbar para restaurar una nota";"Deshacer";"Undo";"Rückgängig";"Annuler";"Annulla";"Anular";""
"new_reminder_placeholder";"string";"";"si";"Texto de ayuda del campo de entrada manual";"Escribe un recordatorio";"Write a reminder";"Erinnerung eingeben";"Écrivez un rappel";"Scrivi un promemoria";"Escreva um lembrete";""
"save_reminder";"string";"";"si";"Botón que guarda una nota manual";"Guardar";"Save";"Speichern";"Enregistrer";"Salva";"Guardar";""
"cancel";"string";"";"si";"Botón que cancela la entrada manual";"Cancelar";"Cancel";"Abbrechen";"Annuler";"Annulla";"Cancelar";""
"created_just_now";"string";"";"si";"Etiqueta temporal mostrada en una nota recién creada";"Ahora";"Just now";"Gerade eben";"À l’instant";"Ora";"Agora";"Significa «creada ahora», no «en este momento» como acción"
"reminder_load_failed";"string";"";"si";"Error al cargar las notas desde Room";"No se pudieron cargar las notas";"Could not load notes";"Notizen konnten nicht geladen werden";"Impossible de charger les notes";"Impossibile caricare le note";"Não foi possível carregar as notas";""
"reminder_create_failed";"string";"";"si";"Error al guardar una nota nueva";"No se pudo guardar la nota";"Could not save the note";"Notiz konnte nicht gespeichert werden";"Impossible d’enregistrer la note";"Impossibile salvare la nota";"Não foi possível guardar a nota";""
"reminder_complete_failed";"string";"";"si";"Error al completar una nota";"No se pudo completar la nota";"Could not complete the note";"Notiz konnte nicht erledigt werden";"Impossible de terminer la note";"Impossibile completare la nota";"Não foi possível concluir a nota";""
"reminder_restore_failed";"string";"";"si";"Error al restaurar una nota mediante Deshacer";"No se pudo deshacer la acción";"Could not undo the action";"Aktion konnte nicht rückgängig gemacht werden";"Impossible d’annuler l’action";"Impossibile annullare l’azione";"Não foi possível anular a ação";""
"reminder_notification_channel_name";"string";"";"si";"Nombre del canal de notificaciones en los ajustes de Android";"Recordatorios activos";"Active reminders";"Aktive Erinnerungen";"Rappels actifs";"Promemoria attivi";"Lembretes ativos";"Debe ser breve"
"reminder_notification_channel_description";"string";"";"si";"Descripción del canal de recordatorios en los ajustes de Android";"Muestra las notas pendientes de Pensieve";"Shows pending Pensieve notes";"Zeigt ausstehende Pensieve-Notizen";"Affiche les notes Pensieve en attente";"Mostra le note di Pensieve in sospeso";"Mostra as notas pendentes da Pensieve";"Conservar la marca Pensieve"
"voice_capture_notification_channel_name";"string";"";"si";"Nombre del canal de captura por voz en los ajustes de Android";"Captura de voz";"Voice capture";"Sprachaufnahme";"Enregistrement vocal";"Registrazione vocale";"Captura de voz";"Debe ser breve"
"voice_capture_notification_channel_description";"string";"";"si";"Descripción del canal temporal de captura por voz";"Indica cuándo Pensieve está escuchando";"Shows when Pensieve is listening";"Zeigt an, wenn Pensieve zuhört";"Indique quand Pensieve est à l’écoute";"Indica quando Pensieve è in ascolto";"Indica quando a Pensieve está a ouvir";"Conservar la marca Pensieve"
"widget_voice_capture_name";"string";"";"si";"Nombre del widget mostrado por el launcher";"Pensieve: grabar voz";"Pensieve: record voice";"Pensieve: Sprache aufnehmen";"Pensieve : enregistrer la voix";"Pensieve: registra voce";"Pensieve: gravar voz";"Conservar la marca Pensieve"
"widget_voice_capture_description";"string";"";"si";"Descripción accesible y del selector del widget";"Grabar recordatorio";"Record reminder";"Erinnerung aufnehmen";"Enregistrer un rappel";"Registra un promemoria";"Gravar lembrete";""
"complete_reminder_action";"string";"";"si";"Acción de la notificación que completa el recordatorio";"Hecho";"Done";"Erledigt";"Terminé";"Fatto";"Concluído";"Debe ser muy breve"
"notification_permission_denied";"string";"";"si";"Mensaje cuando falta permiso para publicar notificaciones";"Permite las notificaciones para mantener este recordatorio visible aunque cierres Pensieve.";"Allow notifications to keep this reminder visible even when you close Pensieve.";"Aktiviere Benachrichtigungen, damit diese Erinnerung sichtbar bleibt, auch wenn du Pensieve schließt.";"Autorisez les notifications pour que ce rappel reste visible même lorsque vous fermez Pensieve.";"Consenti le notifiche per mantenere visibile questo promemoria anche quando chiudi Pensieve.";"Permita as notificações para manter este lembrete visível mesmo depois de fechar a Pensieve.";"Conservar la marca Pensieve"
"voice_listening";"string";"";"si";"Estado visible mientras el micrófono está escuchando";"Escuchando…";"Listening…";"Hört zu…";"Écoute…";"In ascolto…";"A ouvir…";"Conservar el carácter de elipsis …"
"voice_processing";"string";"";"si";"Estado visible mientras se procesa la voz";"Transcribiendo…";"Transcribing…";"Wird transkribiert…";"Transcription…";"Trascrizione…";"A transcrever…";"Conservar el carácter de elipsis …"
"voice_saving";"string";"";"si";"Estado visible mientras se guarda el resultado de voz";"Guardando…";"Saving…";"Wird gespeichert…";"Enregistrement…";"Salvataggio…";"A guardar…";"Conservar el carácter de elipsis …"
"voice_stop_recording";"string";"";"si";"Botón que detiene la captura de voz";"Detener grabación";"Stop recording";"Aufnahme stoppen";"Arrêter l’enregistrement";"Interrompi la registrazione";"Parar gravação";""
"voice_cancel";"string";"";"si";"Botón que cancela la captura o revisión de voz";"Cancelar";"Cancel";"Abbrechen";"Annuler";"Annulla";"Cancelar";""
"voice_save_reminder";"string";"";"si";"Botón que confirma y guarda la transcripción revisada";"Guardar recordatorio";"Save reminder";"Erinnerung speichern";"Enregistrer le rappel";"Salva promemoria";"Guardar lembrete";""
"voice_retry";"string";"";"si";"Acción que vuelve a intentar una captura de voz";"Reintentar";"Retry";"Erneut versuchen";"Réessayer";"Riprova";"Tentar novamente";""
"voice_close";"string";"";"si";"Acción que cierra un error de voz";"Cerrar";"Close";"Schließen";"Fermer";"Chiudi";"Fechar";""
"voice_open_settings";"string";"";"si";"Acción que abre los ajustes de Android para conceder permisos";"Abrir ajustes";"Open settings";"Einstellungen öffnen";"Ouvrir les paramètres";"Apri impostazioni";"Abrir Definições";""
"voice_review_placeholder";"string";"";"si";"Texto de ayuda del campo donde se revisa la transcripción";"Revisa tu recordatorio";"Review your reminder";"Erinnerung überprüfen";"Vérifiez votre rappel";"Controlla il promemoria";"Reveja o seu lembrete";""
"voice_elapsed_seconds";"plural";"one";"si";"Descripción accesible del tiempo de grabación en singular";"%1$d segundo de grabación";"%1$d second of recording";"%1$d Sekunde Aufnahmezeit";"%1$d seconde d’enregistrement";"%1$d secondo di registrazione";"%1$d segundo de gravação";"Conservar exactamente el marcador %1$d"
"voice_elapsed_seconds";"plural";"many";"si";"Forma CLDR para cantidades como un millón";"%1$d de segundos de grabación";"%1$d seconds of recording";"%1$d Sekunden Aufnahmezeit";"%1$d de secondes d’enregistrement";"%1$d di secondi di registrazione";"%1$d de segundos de gravação";"Implementar quantity=many solo en español, francés, italiano y portugués de Portugal; no añadirlo al fallback inglés ni al alemán"
"voice_elapsed_seconds";"plural";"other";"si";"Descripción accesible del tiempo de grabación en plural";"%1$d segundos de grabación";"%1$d seconds of recording";"%1$d Sekunden Aufnahmezeit";"%1$d secondes d’enregistrement";"%1$d secondi di registrazione";"%1$d segundos de gravação";"Conservar exactamente el marcador %1$d"
"voice_no_speech";"string";"";"si";"Error cuando no se detecta voz";"No hemos detectado voz.";"No speech detected.";"Keine Sprache erkannt.";"Aucune voix détectée.";"Nessuna voce rilevata.";"Não foi detetada voz.";"Conservar el punto final"
"voice_language_unavailable";"string";"";"si";"Error cuando el idioma no está disponible en el reconocimiento local";"El idioma no está disponible para el reconocimiento local.";"The language is not available for on-device speech recognition.";"Die Sprache ist für die lokale Spracherkennung nicht verfügbar.";"La langue n’est pas disponible pour la reconnaissance vocale locale.";"La lingua non è disponibile per il riconoscimento vocale locale.";"O idioma não está disponível para o reconhecimento de voz local.";"Conservar el punto final"
"voice_recognizer_unavailable";"string";"";"si";"Error cuando el dispositivo no ofrece reconocimiento local";"El reconocimiento local no está disponible en este dispositivo.";"On-device speech recognition is not available on this device.";"Die lokale Spracherkennung ist auf diesem Gerät nicht verfügbar.";"La reconnaissance vocale locale n’est pas disponible sur cet appareil.";"Il riconoscimento vocale locale non è disponibile su questo dispositivo.";"O reconhecimento de voz local não está disponível neste dispositivo.";"Conservar el punto final"
"voice_permission_denied";"string";"";"si";"Error cuando falta el permiso de micrófono";"Permite el micrófono para crear una nota por voz.";"Allow microphone access to create a note by voice.";"Erlaube den Mikrofonzugriff, um eine Notiz per Sprache zu erstellen.";"Autorisez l’accès au microphone pour dicter une note.";"Consenti l’accesso al microfono per creare una nota con la voce.";"Permita o acesso ao microfone para criar uma nota por voz.";"Conservar el punto final"
"voice_temporary_failure";"string";"";"si";"Error temporal genérico durante la transcripción";"No se pudo transcribir ahora. Inténtalo de nuevo.";"Could not transcribe right now. Try again.";"Die Transkription ist gerade nicht möglich. Versuche es erneut.";"Impossible de transcrire pour le moment. Réessayez.";"Impossibile trascrivere al momento. Riprova.";"Não foi possível transcrever agora. Tente novamente.";"Conservar los dos enunciados y sus puntos"
